Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AMD,GD,GLD,MATX,NRG,NVDA,TSLA,AMD,GD,GLD,MATX,NRG,NVDA,TSLA,AMD,GD,GLD,MATX,NRG,NVDA,TSLA,AMD,GD,GLD,MATX,NRG,NVDA,TSLA,AMD,GD,GLD,MATX,NRG,NVDA,TSLA
2015-03-04,3.049999952,109.32061,115.1100006,32.97934723,19.36520576,0.540418983,13.49600029,3.140000105,110.347621,115.7900009,33.54423302,19.40490574,0.541623632,13.50133324,3.00999999,109.1440914,115.0199966,32.64706035,18.91263661,0.530299666,13.14733315,3.140000105,109.5452679,115.6999969,32.70521008,19.09525197,0.532468103,13.28333282,12122100,1866600,4762400,222400,4188700,226840000,63330000
2015-03-05,2.980000019,109.4650497,115,32.88795853,19.90511322,0.550779402,13.37533283,3.099999905,110.1470549,116.1200027,33.36146513,20.00039165,0.551743133,13.74600029,2.980000019,108.9114363,114.8399963,32.68028008,19.36520563,0.538973539,13.34333324,3.099999905,109.2885433,115.4300003,32.92118784,19.48430405,0.540419164,13.5233326,11472300,1660500,5872200,151600,4996700,323056000,73155000
2015-03-06,2.920000076,107.9967728,111.8600006,32.63874817,19.44459915,0.543310523,12.92533302,2.99000001,109.2885622,113.2600021,33.29501288,19.82570976,0.550297618,13.38333321,2.829999924,107.900482,111.6999969,32.59721311,19.38108072,0.542828629,12.81000042,2.960000038,108.8472654,113.1699982,32.60551885,19.80983129,0.547647342,13.2806673,16785200,1393100,11190800,175400,5034800,257392000,100686000
2015-03-09,2.930000067,109.0558472,111.9700012,32.87134171,18.83323479,0.544755936,12.72533321,2.980000019,109.5693527,112.6200027,33.02087043,19.5716376,0.548851893,12.9659996,2.900000095,107.5715011,111.9499969,32.5556696,18.76971635,0.542346579,12.55000019,2.920000076,107.8121972,112.4199982,32.87965062,19.50017916,0.543551286,12.95933342,12405900,1115300,5534000,143100,5089400,222388000,101050500
2015-03-10,2.920000076,106.4642563,111.4199982,32.46429825,18.57122803,0.554152489,12.68799973,2.980000019,108.3096712,112.3499985,32.8298112,18.86500187,0.557766552,12.89999962,2.920000076,106.416117,111.2200012,32.33138099,18.52358956,0.546201607,12.50666714,2.970000029,107.9245329,112.0899963,32.62213274,18.69826495,0.547165338,12.56400013,10312400,1997000,7019800,159500,5690800,527212000,83695500
2015-03-11,2.839999914,106.1513367,110.75,33.02918243,18.35684776,0.551261365,12.91600037,2.950000048,107.3307969,111.25,33.07902641,18.76177688,0.561380629,13.07866669,2.799999952,105.9667989,110.1600037,32.35630622,18.34096777,0.54981574,12.73400021,2.920000076,107.074038,111.2300034,32.38122662,18.59504154,0.554152559,12.74333286,11772800,1495100,6550400,157100,4633800,262120000,74623500
2015-03-12,2.75999999,107.2505569,110.7200012,34.55770111,18.483881,0.546201706,12.73799992,2.789999962,107.5715056,111.1999969,34.64077441,18.59503787,0.550056688,12.96333313,2.720000029,106.3438939,110.25,33.21194532,18.34890415,0.535841466,12.64999962,2.75999999,106.3438939,111.1500015,33.31163011,18.46006102,0.545960787,12.91666698,13847200,1520000,6631500,307200,3797400,406972000,62239500
2015-03-13,2.75,106.0631027,110.8799973,34.18386841,18.63474274,0.546924233,12.57866669,2.779999971,108.1973658,111.2799988,34.47461692,18.78559963,0.548369858,12.78333282,2.710000038,105.3730783,110.5100021,33.74358801,18.08689667,0.536082105,12.48799992,2.74000001,107.1462725,111.0999985,34.42477296,18.36478894,0.543551147,12.59666729,8098100,1627300,4557600,266000,5190300,359288000,81514500
2015-03-16,2.75999999,108.2936325,110.8099976,33.83498383,18.88087082,0.553429604,13.0466671,2.809999943,108.3337526,111.2099991,34.36664033,19.04760612,0.556802748,13.06066704,2.75,106.5605463,110.4199982,33.68545504,18.77765243,0.54764716,12.65333271,2.75,106.6648562,111.0899963,34.34171992,18.88087082,0.551261223,12.80000019,6132900,1899800,3265300,312400,4158200,236956000,84432000
2015-03-17,2.769999981,107.6196518,110.2099991,33.9928093,19.31756592,0.560175955,12.98200035,2.799999952,107.9566387,111.3499985,34.11741764,19.37314437,0.560416874,13.24733257,2.74000001,107.0339251,109.7699966,33.39469748,18.84117681,0.548370091,12.92933273,2.75,107.7319808,109.9199982,33.50269117,18.84911681,0.552225073,13.02866745,7742200,1171200,8923300,220200,2971100,299900000,73411500
